13.48,3.77
14.63,1.88
10.21,6.65
8.93,12.47
10.75,10.17
11.81,5.96
11.04,11.23
13.28,9.48
11.6,3.24
14.97,8.85
8.64,8.29
15.68,11.31
15.28,9.02
13.12,5.31
15.82,4.1
10.52,2.13
12.52,4.05
14.13,8.81
11.4,5.76
10.21,8.48
14.33,7.41
8.92,1.89
13.83,5.67
13.97,7.46
12.99,4.87
13.75,7.02
8.63,9.78
10.96,5.64
13.84,7.66
9.49,8.11
8.89,12.33
15.25,12.32
15.18,11.48
12.43,4.1
9.22,12.62
9.02,10.07
8.56,2.1
14.7,6.74
15.3,8.31
11.52,5.67
15.22,2.91
8.99,11.61
10.75,4.61
11.3,3.32
14.53,2.98
14.26,11.83
11.34,6.07
13.3,12.89
11.54,7.95
15.13,10.85
