4.11,6.12
4.4,7.36
13.69,9.64
12.88,8.85
7.54,7.3
4.09,12.65
4.6,11.75
11.07,9.65
12.62,11.92
10.84,7.74
10.49,12.53
9.15,7.21
9.17,10.25
4.64,10.89
10.09,13.35
12.4,12.04
5.29,7.88
3.96,8.14
11.09,5.73
9.5,5.08
3.94,8.64
6.12,11.61
4.73,10.67
2.79,9.36
10.61,10.82
10.77,6.33
3.45,5.02
9.47,4.84
9.27,12.51
5.75,8.41
13.91,13.25
11.06,4.71
3.59,12.12
12.48,9.27
7.36,9.62
7.59,5.21
11.0,13.03
3.0,11.19
7.33,9.24
4.69,12.52
12.18,11.71
8.62,8.9
13.22,12.31
7.39,11.81
6.85,9.11
10.85,4.44
10.69,11.39
6.22,6.75
4.81,9.68
10.27,7.52
