1.25,9.32
1.99,12.33
3.71,6.53
3.01,7.86
1.36,6.24
2.23,6.39
3.09,12.07
3.0,8.76
1.57,12.03
1.4,11.85
1.23,11.43
1.25,7.25
1.19,11.87
1.29,6.83
1.39,10.49
2.07,11.13
2.38,11.99
2.57,12.34
0.89,11.37
3.5,9.4
3.61,8.81
1.06,10.85
1.82,9.3
1.83,11.2
1.32,12.3
2.18,8.05
0.88,8.96
2.49,12.06
3.09,6.79
2.58,11.56
1.12,11.59
3.83,11.38
1.05,8.42
1.6,11.45
2.9,11.12
2.39,12.15
1.16,11.64
1.02,11.52
1.04,8.8
0.81,7.54
2.82,7.49
1.55,9.53
1.4,9.77
2.12,11.3
1.09,10.26
0.95,7.63
1.88,10.64
2.04,8.44
2.82,6.97
3.79,9.54
