12.13,13.83
12.67,12.23
3.17,21.08
7.11,13.77
7.64,20.15
7.54,20.01
8.87,13.08
13.65,16.75
7.55,12.06
1.14,13.19
7.26,20.82
2.78,17.21
6.95,17.81
8.1,12.5
15.03,19.67
1.14,15.62
8.42,17.93
13.93,18.72
9.1,20.72
15.69,18.22
14.06,12.85
5.81,19.47
11.87,14.71
8.46,18.41
12.98,18.84
14.38,14.37
8.61,13.37
7.21,18.59
13.25,20.11
8.99,13.98
8.23,19.54
2.88,16.38
1.65,14.27
13.61,22.63
6.93,20.51
0.75,22.68
12.49,16.05
14.84,16.69
13.08,18.85
12.1,15.52
3.95,20.13
4.72,21.57
9.46,23.17
12.75,12.83
6.47,17.0
2.71,16.5
5.72,23.33
15.67,21.42
2.03,21.98
12.13,21.8
