22.95,-26.45
24.48,-25.48
24.09,-32.68
29.06,-22.38
26.26,-27.04
16.76,-22.91
32.29,-25.31
18.26,-28.75
21.71,-34.36
19.52,-29.85
18.44,-33.27
23.09,-22.51
20.63,-29.83
18.89,-26.8
30.44,-28.39
26.0,-22.47
27.77,-24.8
20.66,-30.82
24.74,-24.75
27.93,-31.87
29.56,-30.61
31.26,-32.52
19.54,-33.06
18.68,-29.67
21.32,-27.03
24.62,-22.89
21.02,-34.62
26.12,-28.06
20.2,-23.99
17.83,-29.4
26.0,-26.87
22.36,-29.55
27.55,-28.83
30.43,-31.5
21.62,-32.37
26.92,-27.58
27.02,-24.1
23.43,-26.11
19.51,-28.4
22.7,-23.45
30.07,-32.85
25.04,-29.7
23.98,-25.03
21.0,-34.38
20.08,-27.58
21.09,-24.67
25.7,-27.75
31.1,-27.57
28.98,-25.99
28.98,-24.86
